name;core;cpu;generation;performance;ram/size;ram/unit;pci/gpu;gpu_model_name;pci/eth;max_nics;max_ips;io_optimized;volume_type;storage/number;ephemerals_type;storage/size;storage/unit;storage_bandwidth/size;storage_bandwidth/unit;architecture
c1.medium;2;;1;1;2;GiB;;;;2;6;;;1;;348160;MiB;;;x86_64
c1.xlarge;8;;1;1;7;GiB;;;;4;15;;;4;;430080;MiB;1000;MB;x86_64
c3.2xlarge;8;;3;1;15;GiB;;;;4;15;;;2;SSD;81920;MiB;1000;MB;x86_64
c3.4xlarge;16;;3;1;31;GiB;;;;8;30;;;2;SSD;163840;MiB;1000;MB;i386,x86_64
c3.8xlarge;32;;3;1;61;GiB;;;;8;30;;;2;SSD;327680;MiB;1000;MB;x86_64
c3.large;2;;3;1;4;GiB;;;;3;10;;;2;SSD;16384;MiB;;;x86_64
c3.xlarge;4;;3;1;8;GiB;;;;4;15;;;2;SSD;40960;MiB;1000;MB;x86_64
c4.2xlarge;8;host;4;1;15;GiB;;;;4;15;TRUE;;;;;;1000;MB;x86_64
c4.4xlarge;16;host;4;1;31;GiB;;;;8;30;TRUE;;;;;;2000;MB;x86_64
c4.8xlarge;36;host;4;1;61;GiB;;;;8;30;TRUE;;;;;;4000;MB;i386,x86_64
c4.large;2;host;4;1;4;GiB;;;;3;10;TRUE;;;;;;500;MB;x86_64
c4.xlarge;4;host;4;1;8;GiB;;;;4;15;TRUE;;;;;;750;MB;x86_64
c5.18xlarge;72;host;5;1;147;GiB;;;;8;30;TRUE;;;;;;4000;MB;x86_64
c5.2xlarge;8;host;5;1;16;GiB;;;;4;15;TRUE;;;;;;1000;MB;x86_64
c5.4xlarge;16;host;5;1;33;GiB;;;;8;30;TRUE;;;;;;2000;MB;x86_64
c5.8xlarge;36;host;5;1;74;GiB;;;;8;30;TRUE;;;;;;4000;MB;x86_64
c5.9xlarge;36;host;5;1;72;GiB;;;;8;30;TRUE;;;;;;4000;MB;x86_64
c5.large;2;host;5;1;4;GiB;;;;3;10;TRUE;;;;;;500;MB;x86_64
c5.xlarge;4;host;5;1;8;GiB;;;;4;15;TRUE;;;;;;750;MB;x86_64
cc1.4xlarge;6;host;1;1;25;GiB;;;;8;30;;;4;;430080;MiB;1000;MB;x86_64
cc2.8xlarge;32;host;2;1;61;GiB;;;;8;30;;;4;;860160;MiB;1000;MB;x86_64
cr1.8xlarge;32;host;1;2;250;GiB;;;;8;30;;;2;SSD;122880;MiB;;;i386,x86_64
g2.2xlarge;8;;2;1;15;GiB;1;nvidia-k2;;4;15;;;1;SSD;61440;MiB;1000;MB;x86_64
g2.8xlarge;32;;2;1;60;GiB;4;nvidia-k2;;4;15;;;2;SSD;120;GiB;1000;MB;x86_64
g3.16xlarge;64;;3;1;500;GiB;4;nvidia-m60;;15;50;;;;;;;;;x86_64
g3.4xlarge;16;;3;1;125;GiB;1;nvidia-m60;;8;30;;;;;;;;;x86_64
g3.8xlarge;32;;3;1;250;GiB;2;nvidia-m60;;8;30;;;;;;;;;x86_64
i2.2xlarge;8;;4;2;62;GiB;;;;4;15;;gp2;2;SSD;819200;MiB;;;x86_64
i2.4xlarge;16;;4;2;125;GiB;;;;8;30;;gp2;4;SSD;819200;MiB;;;x86_64
i2.8xlarge;32;;4;2;250;GiB;;;;8;30;;gp2;8;SSD;819200;MiB;;;x86_64
i2.xlarge;4;;4;2;30;GiB;;;;4;15;;gp2;1;SSD;819200;MiB;;;x86_64
io5.12xlarge;36;;4;2;492;GiB;;;;8;30;;gp2;6;SSD;655360;MiB;;;i386,x86_64
io5.18xlarge;54;;4;2;737;GiB;;;;8;30;;gp2;9;SSD;655360;MiB;;;x86_64
io5.2xlarge;6;;4;2;82;GiB;;;;4;15;;gp2;1;SSD;655360;MiB;;;x86_64
io5.4xlarge;12;;4;2;164;GiB;;;;8;30;;gp2;2;SSD;655360;MiB;;;x86_64
io5.6xlarge;18;;4;2;246;GiB;;;;8;30;;gp2;3;SSD;655360;MiB;;;x86_64
io5.8xlarge;24;;4;2;328;GiB;;;;8;30;;gp2;4;SSD;655360;MiB;;;i386,x86_64
m1.large;2;;1;2;8;GiB;;;;3;10;;;2;;430080;MiB;500;MB;x86_64
m1.medium;1;;1;2;4;GiB;;;;2;6;;;1;;430080;MiB;;;x86_64
m1.small;1;;1;2;2;GiB;;;;2;4;;;1;;153600;MiB;;;x86_64
m1.xlarge;4;;1;2;15;GiB;;;;4;15;;;4;;430080;MiB;1000;MB;x86_64
m2.2xlarge;4;;2;2;35;GiB;;;;4;30;;;1;;860160;MiB;500;MB;x86_64
m2.4xlarge;8;;2;2;70;GiB;;;;8;30;;;1;;1720320;MiB;1000;MB;x86_64
m2.xlarge;2;;2;2;18;GiB;;;;4;15;;;1;;430080;MiB;;;x86_64
m3.2xlarge;8;;3;2;31;GiB;;;;4;30;;;2;SSD;81920;MiB;1000;MB;x86_64
m3.large;2;;3;2;8;GiB;;;;3;10;;;1;SSD;32768;MiB;;;x86_64
m3.medium;1;;3;2;4;GiB;;;;2;6;;;1;SSD;4096;MiB;;;x86_64
m3.xlarge;4;;3;2;15;GiB;;;;4;15;;;2;SSD;40960;MiB;500;MB;x86_64
m4.10xlarge;40;;4;2;164;GiB;;;;8;30;TRUE;;;;;;4000;MB;x86_64
m4.2xlarge;8;;4;2;33;GiB;;;;4;15;TRUE;;;;;;1000;MB;x86_64
m4.4xlarge;16;;4;2;66;GiB;;;;8;30;TRUE;;;;;;2000;MB;x86_64
m4.large;2;;4;2;8;GiB;;;;3;10;TRUE;;;;;;450;MB;x86_64
m4.xlarge;4;;4;2;16;GiB;;;;4;15;TRUE;;;;;;750;MB;x86_64
